更新时间:,#genre#
黑龙江-影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江-影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8




//222.241.154.37:9901/tsfile
湖南-经视,http://222.241.154.37:9901/tsfile/live/23020_1.m3u8
湖南-都市,http://222.241.154.37:9901/tsfile/live/23021_1.m3u8
湖南-爱晚,http://222.241.154.37:9901/tsfile/live/23022_1.m3u8
湖南-娱乐,http://222.241.154.37:9901/tsfile/live/23023_1.m3u8
湖南-国际,http://222.241.154.37:9901/tsfile/live/23024_1.m3u8


//网页
吉林四平-新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
延边2台,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
黑龙江-影视,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8
香港-環球电视台,https://epg.pw/stream/2fe10d6406f74f21bd9e99d173a0b225c16b8a67d3aec20056a0c80ca0bcd0d7.m3u8
广东-南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
浙江-钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江-经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江-教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江-民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江-新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江-少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江-国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江-之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8


//黑龙江电信 112.101.78.50:9901/tsfile
黑龙江-都市,http://112.101.78.50:9901/tsfile/live/1005_1.m3u8
黑龙江-农业·科教,http://112.101.78.50:9901/tsfile/live/1006_1.m3u8
黑龙江-少儿,http://112.101.78.50:9901/tsfile/live/1007_1.m3u8
黑龙江-文体,http://112.101.78.50:9901/tsfile/live/1009_1.m3u8
黑龙江-新闻法治,http://112.101.78.50:9901/tsfile/live/1010_1.m3u8
黑龙江-影视,http://112.101.78.50:9901/tsfile/live/1011_1.m3u8
湖南-金鹰卡通,http://112.101.78.50:9901/tsfile/live/1016_1.m3u8
北京-卡酷少儿,http://112.101.78.50:9901/tsfile/live/1012_1.m3u8



数字电视,#genre#
//网页
Bread TV面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

//ottrrs.hl.chinamobile.com
NewTV爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
